Date,US CONS DISCRET ,US CONS STAPLES ,US ENERGY ,US HEALTH CARE ,US FINANCIALS ,US INFO TECH ,US UTILITIES ,US INDUSTRIALS ,US MATERIALS ,US TELECOM SERV ,CN CONS DIS ,CN CONS STP ,CN ENERGY ,CN HLTH CR ,CN FINCLS ,CN INFO TECH ,CN UTIL ,CN INDSTRLS ,CN MATRLS ,CN TEL SRVC 
31/05/2010,-0.071424274,-0.047348752,-0.118076418,-0.069920697,-0.092488738,-0.082731468,-0.061216558,-0.098266709,-0.096510439,-0.039384846,0.012616504,-0.003101773,-0.04642476,-0.024155844,-0.054883572,0.004033613,-0.061216558,-0.098266709,-0.096510439,0.00071908
30/06/2010,-0.098028329,-0.028015247,-0.057909212,-0.018614147,-0.05966974,-0.062166003,-0.010212531,-0.070921709,-0.07099763,-0.003904725,-0.023459423,-0.039391805,-0.049664242,0.075059888,-0.056943113,-0.089052561,-0.010212531,-0.070921709,-0.07099763,-0.00502994
30/07/2010,0.077336036,0.05836887,0.07976216,0.012604014,0.066149537,0.071651562,0.073410485,0.102983759,0.122347211,0.079282634,0.037011494,0.08060869,0.03864272,0.018816539,0.059185748,0.03969129,0.073410485,0.102983759,0.122347211,0.017573423
31/08/2010,-0.040627647,-0.015865021,-0.047130029,-0.017885196,-0.079072352,-0.071980089,0.008897837,-0.073355401,-0.028466625,0.022518841,0.00665041,0.040662821,-0.03522075,0.112515188,-0.045718801,-0.050194415,0.008897837,-0.073355401,-0.028466625,0.042938254
30/09/2010,0.109953821,0.053772481,0.091451033,0.088193675,0.059856257,0.121114227,0.025943093,0.111968795,0.075299123,0.07930024,0.033362695,0.021085811,0.046165712,0.01529052,0.045543266,0.04763677,0.025943093,0.111968795,0.075299123,0.024951798
29/10/2010,0.053019054,0.028133347,0.055620483,0.0204947,0.013717776,0.064481053,0.009286566,0.025810501,0.065723753,-0.001151884,0.028023442,0.043749002,0.010882921,0.082616179,0.014934661,0.044760213,0.009286566,0.025810501,0.065723753,0.009405776
30/11/2010,0.02408109,-0.013496187,0.051108249,-0.031523546,-0.008629934,-0.018208284,-0.03587193,0.007703106,0.009327146,-0.014332784,0.005700663,-0.024017133,0.036256294,-0.039149444,0.006632852,0.028561714,-0.03587193,0.007703106,0.009327146,-0.002850252
31/12/2010,0.039955324,0.038306314,0.089293007,0.043361364,0.106263521,0.052282481,0.027469693,0.075620647,0.101604524,0.075881665,0.026795836,0.025548589,0.083079192,0.031644261,0.018050941,0.014876033,0.027469693,0.075620647,0.101604524,-0.01759015
31/01/2011,-0.007168984,-0.017524211,0.073191909,0.00383793,0.027610933,0.042046719,0.010606251,0.042375133,-0.001460707,-0.038449588,0.023988758,-0.005400173,0.052756978,0.119486768,0.005656478,0.048208469,0.010606251,0.042375133,-0.001460707,0.046553268
28/02/2011,0.057761223,0.024005901,0.067722124,0.028401333,0.027548709,0.017719898,0.007638328,0.020389958,0.024951935,0.023345989,-0.042246618,0.02535471,0.065632072,0.009312321,0.063007031,0.088564326,0.007638328,0.020389958,0.024951935,-0.01497006
31/03/2011,-0.006347979,0.011230437,0.014879363,0.01704817,-0.026766029,-0.026571568,-0.002095402,0.017234919,0.016841333,0.051862962,-0.005424215,0.002198022,-0.015445719,0.06192335,0.015263292,-0.022266629,-0.002095402,0.017234919,0.016841333,0.005644811
29/04/2011,0.038869468,0.050509956,0.014779997,0.064203655,-0.000996783,0.029212461,0.038228755,0.026887661,0.020532563,0.006679174,0.003601564,0.009271259,-0.026305468,0.000501253,-0.017088449,-0.02919708,0.038228755,0.026887661,0.020532563,0.00798791
